date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:45	125/125	---M-Z	200	added ('OK')	text/plain	etag:%228-1631563043;gz%22	https://pollyannaconsultancyservices.com/robots.txt		(from )
22:10:45	121942/121942	---M-Z	200	added ('OK')	text/html	etag:%222-1631546893;gz%22	https://pollyannaconsultancyservices.com/	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/index.html	(from )
22:10:46	48303/48303	---M-Z	200	added ('OK')	text/css	etag:%22bcaf-612bc64d-ec3f55a0610fff78;gz%22	https://pollyannaconsultancyservices.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.6.8	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/themes/astra/assets/css/minified/frontend.mina4f3.css	(from https://pollyannaconsultancyservices.com/)
22:10:46	2078/2078	---M-Z	200	added ('OK')	application/rss+xml	etag:%22af3e92b0e6dd88ed6f56604bfae6befd%22	https://pollyannaconsultancyservices.com/feed/	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/feed/index.html	(from https://pollyannaconsultancyservices.com/)
22:10:46	3304/3304	---M--	200	added ('OK')	application/font-woff	etag:%22ce8-612bc649-40811504d2c62fe4;;;%22	https://pollyannaconsultancyservices.com/wp-content/themes/astra/assets/fonts/astra.woff	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://pollyannaconsultancyservices.com/)
22:10:47	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%22d54-612bc64d-925721850633deeb;gz%22	https://pollyannaconsultancyservices.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.6.8	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/themes/astra/assets/css/minified/menu-animation.mina4f3.css	(from https://pollyannaconsultancyservices.com/)
22:10:47	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-61260f3f-ea4585f416128d13;gz%22	https://pollyannaconsultancyservices.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-includes/css/dist/block-library/style.minf658.css	(from https://pollyannaconsultancyservices.com/)
22:10:47	2047/2047	---M-Z	200	added ('OK')	text/css	etag:%227ff-6123ebde-2af23e4ab4042c07;gz%22	https://pollyannaconsultancyservices.com/wp-content/plugins/templately/assets/css/editor.css?ver=1.3.0	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/plugins/templately/assets/css/editor6f3e.css	(from https://pollyannaconsultancyservices.com/)
22:10:47	18238/18238	---M-Z	200	added ('OK')	text/css	etag:%22473e-61262c10-a4b751de6769846d;gz%22	https://pollyannaconsultancyservices.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.min.css?ver=1631546893	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/uploads/essential-addons-elementor/cb70d11b8.mind08f.css	(from https://pollyannaconsultancyservices.com/)
22:10:47	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-6123ea60-80946e541689d1d3;gz%22	https://pollyannaconsultancyservices.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.4	G:/My%20Web%20Sites/pcs/pollyannaconsultancyservices.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor2745.css	(from https://pollyannaconsultancyservices.com/)
